Temperature,Density,ShearViscosity,Cp
0.7,0.75,1.719538837,120
0.8,0.75,1.651971999,144
0.9,0.75,1.571849641,150
1,0.75,1.555358555,150
1.1,0.75,1.529932434,149
1.2,0.75,1.534236655,134
1.25,0.75,1.497085343,140
1.3,0.75,1.540629877,126
1.35,0.75,1.517650891,147
1.5,0.75,1.516192408,135
1.8,0.75,1.488534455,148
2.1,0.75,1.523670687,148
2.5,0.75,1.56048576,140
3,0.75,1.637249939,121
4,0.75,1.785087006,114
6,0.75,2.120635158,86
0.7,0.8,2.371444984,50
0.8,0.8,2.165151929,59
0.9,0.8,2.08424891,60
1,0.8,2.048806724,61
1.1,0.8,2.006738626,63
1.2,0.8,1.967609466,64
1.25,0.8,1.94284617,66
1.3,0.8,1.96304393,62
1.35,0.8,1.973063717,64
1.5,0.8,1.912979553,65
1.8,0.8,1.853768822,71
2.1,0.8,1.860321011,72
2.5,0.8,1.868891781,77
3,0.8,1.829350139,91
4,0.8,1.938854138,90
6,0.8,2.237651532,99
0.7,0.85,3.547434139,31
0.8,0.85,3.268448774,34
0.9,0.85,2.920033271,39
1,0.85,2.824619877,40
1.1,0.85,2.639612351,43
1.2,0.85,2.663316257,42
1.25,0.85,2.576279464,44
1.3,0.85,2.516042065,47
1.35,0.85,2.578535934,44
1.5,0.85,2.453809155,47
1.8,0.85,2.38526765,49
2.1,0.85,2.32019435,53
2.5,0.85,2.234508705,56
3,0.85,2.260474501,59
4,0.85,2.216722509,69
6,0.85,2.494689955,70
1,0.9,3.979858312,28
1.1,0.9,3.811997752,29
1.2,0.9,3.589134776,31
1.25,0.9,3.603837663,31
1.3,0.9,3.549369465,32
1.35,0.9,3.381848753,33
1.5,0.9,3.289575267,34
1.8,0.9,3.093772591,37
2.1,0.9,2.946469553,39
2.5,0.9,2.828616601,43
3,0.9,2.744741815,45
4,0.9,2.644707638,50
6,0.9,2.918437521,50
1.2,0.95,5.153112643,22
1.25,0.95,5.106594894,22
1.3,0.95,4.941799072,23
1.35,0.95,4.793669479,23
1.5,0.95,4.364619188,26
1.8,0.95,4.078410398,28
2.1,0.95,3.774058249,31
2.5,0.95,3.484844282,35
3,0.95,3.38076194,36
4,0.95,3.288512154,39
6,0.95,3.157578134,48
1.8,1,5.539559053,21
2.1,1,5.058164515,23
2.5,1,4.618365154,26
3,1,4.20306604,29
4,1,3.918096704,33
6,1,3.621555271,39
2.5,1.05,6.165041118,20
3,1.05,5.484338992,22
4,1.05,4.732682645,27
6,1.05,4.538364947,30
3,1.1,7.018183832,18
4,1.1,6.018122347,21
6,1.1,5.208518661,26
4,1.15,7.693644475,17
6,1.15,6.927174906,20
6,1.2,7.848497787,18
6,1.25,9.537847821,15
6,1.275,11.16870395,13
1,0.7,1.500761359,147
1.5,0.7,1.416738538,150
2,0.7,1.426552232,143
2.5,0.7,1.478193768,130
4,0.7,1.697756556,113
1,0.778,1.773197916,80
1.25,0.778,1.697930457,90
1.5,0.778,1.740889763,77
1.75,0.778,1.70173649,88
2,0.778,1.656295195,96
2.25,0.778,1.691509873,95
2.5,0.778,1.710075472,94
0.7,0.8,2.297495047,55
0.8,0.8,2.214984517,56
0.9,0.8,2.095274807,61
1,0.8,2.065382109,60
1.5,0.8,1.875413468,69
4,0.8,1.934551158,95
0.6,0.85,4.034368864,27
0.7,0.85,3.437945079,32
0.8,0.85,3.136916913,36
0.9,0.85,2.900001573,39
1,0.85,2.791903273,41
0.6,0.9,6.355921301,17
0.7,0.9,5.346351709,20
0.8,0.9,4.780933772,23
0.9,0.9,4.464463867,25
1,0.9,3.943154582,28
1,0.9,4.159961769,26
1.5,0.9,3.147787462,36
2,0.9,3.007396688,39
2.5,0.9,2.751771403,44
4,0.9,2.703207309,49
1,0.919,4.805924561,23
1.25,0.919,4.088082845,27
1.5,0.919,3.570621538,32
1.75,0.919,3.47939228,33
0.7,0.95,10.20246819,11
0.8,0.95,8.647816305,13
0.9,0.95,6.913793802,16
1,0.95,6.266267548,18
1.2,0.95,5.339678748,21
0.9,1,12.53619946,9
1,1,11.14629974,10
1.2,1,8.696920256,13
1.5,1,6.644913458,17
4,1,3.819219139,33
